Material ID,Material Name,Category,Durability Rating,Cost per Unit ($),Environmental Suitability,Supplier Availability,Lead Time (days),Sustainability Score,Thermal Conductivity (W/m·K),Compressive Strength (MPa),Fire Resistance Rating
138,Concrete,Plumbing,8,462,All,Medium,5,5,0.95,84,D
139,Brick,Plumbing,7,210,Coastal,High,16,5,1.5,25,C
140,Steel,Finishing,6,321,All,High,7,2,1.78,263,A
141,Brick,Electrical,10,679,Dry,Low,24,10,0.23,150,C
142,Steel,Structural,10,404,Humid,Medium,27,7,1.43,279,C
143,Plastic,Insulation,9,967,Dry,Low,15,10,1.61,14,D
144,Brick,Finishing,9,548,Dry,Low,29,3,1.03,84,B
145,Steel,Insulation,7,68,Humid,Medium,12,10,0.82,123,B
146,Glass,Plumbing,7,195,Humid,Low,22,5,1.39,231,D
147,Wood,Plumbing,8,952,Dry,Medium,11,4,1.5,162,C
148,Brick,Electrical,7,535,All,Medium,10,10,2.16,53,B
149,Concrete,Structural,6,671,Dry,Low,8,4,1.6,158,B
150,Aluminum,Plumbing,6,776,Humid,Low,24,10,1.0,362,D
151,Concrete,Insulation,7,771,Dry,Low,15,1,1.18,309,D
152,Aluminum,Finishing,10,658,All,Medium,8,5,0.22,357,C
153,Wood,Plumbing,8,635,Coastal,High,12,10,0.85,176,A
154,Stone,Structural,10,233,Humid,High,30,7,1.69,143,A
155,Glass,Finishing,9,381,Humid,Low,8,6,1.77,127,C
156,Insulation,Electrical,7,567,Humid,Low,15,3,1.73,225,A
157,Steel,Electrical,8,846,Dry,Low,28,8,2.31,336,A
158,Plastic,Plumbing,9,265,Dry,Medium,12,2,1.74,96,A
159,Aluminum,Insulation,6,339,Coastal,Low,30,1,1.24,39,A
160,Insulation,Insulation,8,273,Dry,Low,24,5,1.24,299,C
161,Wood,Structural,10,60,Dry,Low,19,6,2.37,188,B
162,Wood,Electrical,8,834,Dry,Medium,6,9,1.09,165,A
163,Aluminum,Finishing,7,55,Coastal,Low,23,8,0.86,47,B
164,Insulation,Structural,6,661,Humid,Medium,14,6,0.32,282,D
165,Glass,Finishing,7,961,Coastal,High,25,6,1.96,195,D
166,Steel,Structural,7,879,Dry,Medium,18,1,1.38,288,B
167,Brick,Electrical,10,535,All,Low,29,8,1.08,82,A
168,Brick,Insulation,8,980,All,Medium,17,4,0.15,96,C
169,Stone,Insulation,8,677,All,Medium,23,4,2.31,269,A
170,Concrete,Electrical,9,355,Humid,High,18,3,2.32,148,B
171,Concrete,Finishing,7,729,Coastal,Low,16,7,1.02,191,D
172,Wood,Finishing,7,652,Dry,Low,15,2,2.33,226,D
173,Wood,Structural,7,977,All,Low,21,5,0.12,230,A
174,Aluminum,Plumbing,10,325,Coastal,Low,18,1,0.82,119,D
175,Wood,Plumbing,9,489,All,High,14,6,0.16,321,B
176,Plastic,Insulation,8,381,Humid,Medium,10,3,0.34,95,C
177,Brick,Plumbing,10,328,Coastal,Low,13,3,0.76,103,C
178,Plastic,Plumbing,6,986,Dry,High,6,8,0.11,150,B
179,Stone,Finishing,10,478,Coastal,Low,23,1,1.71,284,C
180,Wood,Electrical,7,577,Dry,Medium,29,6,1.82,222,D
181,Insulation,Electrical,8,531,Coastal,High,17,6,1.16,13,C
182,Aluminum,Finishing,7,321,Dry,High,18,1,0.17,122,B
183,Aluminum,Finishing,8,504,All,Low,5,6,1.52,56,A
184,Aluminum,Insulation,8,318,Coastal,Low,5,5,0.36,200,B
185,Concrete,Plumbing,6,916,Dry,High,25,2,0.7,355,B
186,Brick,Finishing,9,434,All,Low,15,3,2.14,124,D
187,Concrete,Plumbing,7,359,Coastal,High,21,2,1.29,58,A
188,Aluminum,Insulation,8,661,Coastal,Medium,14,6,2.0,324,B
189,Insulation,Finishing,9,459,Dry,High,20,10,0.2,202,A
190,Stone,Finishing,9,536,Coastal,Low,27,2,1.17,154,B
191,Steel,Insulation,9,995,Humid,Medium,27,6,2.26,89,D
192,Steel,Finishing,6,144,Coastal,Medium,25,4,1.22,323,A
193,Stone,Electrical,7,297,Humid,Medium,13,8,0.36,38,B
194,Wood,Electrical,9,387,Coastal,High,24,3,1.24,119,C
195,Plastic,Structural,6,743,All,High,26,2,1.18,245,A
196,Glass,Plumbing,6,744,Dry,Low,24,3,1.27,319,A
197,Glass,Plumbing,7,282,Humid,High,5,4,0.86,36,C
198,Insulation,Insulation,9,576,Humid,Medium,9,1,0.2,162,D
199,Insulation,Electrical,8,254,Coastal,High,24,6,1.46,167,D
200,Plastic,Insulation,10,768,Humid,High,6,4,0.47,104,D
201,Brick,Plumbing,8,795,Coastal,High,12,2,0.18,304,B
202,Aluminum,Finishing,10,359,Dry,Low,7,10,2.27,130,A
203,Concrete,Plumbing,6,652,Coastal,Low,5,8,1.82,388,D
204,Insulation,Insulation,9,452,Humid,High,30,4,0.34,154,B
205,Aluminum,Insulation,8,165,All,Medium,26,2,0.9,195,D
206,Concrete,Plumbing,9,402,All,Medium,28,5,2.5,193,D
207,Steel,Structural,6,599,All,Medium,18,10,0.94,258,B
208,Stone,Plumbing,9,770,Coastal,Medium,21,7,0.11,352,D
209,Aluminum,Structural,8,901,Coastal,High,18,7,1.3,128,B
210,Glass,Finishing,6,891,All,Medium,11,2,1.76,112,A
211,Concrete,Finishing,8,259,Dry,Low,16,9,0.82,46,A
212,Brick,Structural,10,198,Dry,Medium,24,5,2.2,114,C
213,Brick,Plumbing,6,97,Dry,Low,7,3,2.35,208,D
214,Steel,Insulation,7,567,Coastal,Low,10,1,0.81,62,A
215,Insulation,Plumbing,7,859,Coastal,High,11,10,0.95,192,A
216,Glass,Structural,6,176,Humid,Medium,23,10,2.04,375,D
217,Wood,Plumbing,6,841,Dry,Low,25,10,1.66,188,D
218,Glass,Structural,10,243,Coastal,High,27,4,0.94,150,D
219,Insulation,Structural,6,467,All,Low,23,10,1.4,214,B
220,Stone,Electrical,6,526,Coastal,Low,12,2,2.32,20,A
221,Aluminum,Plumbing,9,643,Coastal,High,24,8,0.59,372,A
222,Plastic,Plumbing,10,401,Humid,Low,22,4,0.24,275,B
223,Steel,Finishing,7,66,Humid,Medium,21,6,1.89,28,D
224,Brick,Finishing,7,601,Humid,Low,26,4,1.69,154,A
225,Concrete,Plumbing,10,378,All,Medium,13,6,2.4,161,D
226,Stone,Plumbing,10,193,Dry,High,14,5,0.46,355,D
227,Wood,Insulation,6,872,All,High,16,10,1.11,77,C
228,Steel,Insulation,6,907,All,High,19,2,0.1,277,A
229,Wood,Finishing,9,740,Dry,Medium,30,9,1.96,352,A
230,Stone,Plumbing,10,719,Dry,Medium,11,5,0.17,241,B
231,Glass,Insulation,8,376,Coastal,High,23,9,1.7,27,D
232,Plastic,Finishing,9,563,Coastal,Low,5,5,2.3,186,D
233,Wood,Finishing,6,364,Dry,Medium,30,5,1.05,21,A
234,Glass,Insulation,6,768,Humid,Medium,19,5,0.92,204,B
235,Aluminum,Electrical,6,930,All,High,17,9,1.6,288,A
236,Plastic,Finishing,10,391,Coastal,Medium,11,1,1.03,360,A
237,Insulation,Structural,6,210,Humid,Low,20,5,0.75,135,A
238,Insulation,Structural,10,985,Coastal,High,10,3,1.91,242,C
239,Concrete,Finishing,8,596,Dry,Medium,9,3,0.63,186,C
240,Insulation,Insulation,8,102,Coastal,Low,14,1,1.35,11,B
241,Insulation,Electrical,6,644,Humid,High,21,10,0.59,220,C
242,Aluminum,Plumbing,6,736,Dry,Low,7,3,2.47,173,C
243,Stone,Finishing,10,206,All,Low,5,5,2.19,323,D
244,Insulation,Electrical,9,692,All,High,6,9,0.45,19,D
245,Steel,Plumbing,8,928,Coastal,High,16,7,2.27,389,A
246,Steel,Electrical,9,150,Humid,Medium,7,1,2.5,318,B
247,Brick,Insulation,10,654,Dry,High,18,5,1.11,170,B
248,Steel,Plumbing,10,674,All,Medium,16,6,0.11,326,C
249,Aluminum,Electrical,10,165,Humid,Medium,13,7,0.28,122,C
250,Plastic,Plumbing,9,595,Humid,High,28,9,0.41,144,B
251,Aluminum,Electrical,8,290,Dry,High,13,4,1.74,124,D
252,Aluminum,Plumbing,10,391,All,Medium,20,10,0.83,351,C
253,Concrete,Plumbing,6,69,Humid,Medium,13,5,1.65,185,C
254,Insulation,Structural,8,713,Coastal,High,24,9,0.41,244,A
255,Concrete,Finishing,8,112,Dry,High,13,5,0.19,349,A
256,Aluminum,Plumbing,7,547,All,Medium,17,4,1.4,88,B
257,Aluminum,Structural,7,384,Humid,Low,16,10,0.44,230,C
258,Stone,Insulation,6,605,Coastal,Low,27,4,2.0,122,D
259,Wood,Plumbing,10,237,Dry,Low,17,4,0.31,206,B
260,Concrete,Electrical,7,187,Dry,Low,27,5,1.88,272,D
261,Concrete,Plumbing,6,719,Coastal,High,11,10,0.42,133,C
262,Brick,Electrical,7,697,All,Medium,9,9,2.43,118,B
263,Aluminum,Plumbing,6,322,Dry,Low,5,6,1.47,66,B
264,Glass,Structural,6,849,Coastal,Low,30,1,1.77,86,B
265,Wood,Structural,8,441,Coastal,High,6,1,1.08,190,D
266,Wood,Finishing,9,213,Dry,High,7,5,1.07,105,C
267,Glass,Electrical,8,676,Dry,High,21,1,0.89,183,B
268,Plastic,Finishing,8,145,All,Medium,20,2,1.49,399,D
269,Steel,Finishing,9,207,Dry,High,6,9,0.3,217,C
270,Brick,Insulation,10,630,All,Medium,6,6,1.32,228,B
271,Aluminum,Structural,8,719,Dry,Low,8,8,1.65,198,A
272,Glass,Plumbing,7,743,Dry,Medium,5,10,0.89,142,B
273,Stone,Finishing,10,178,Coastal,Medium,29,4,2.5,30,C
274,Brick,Plumbing,6,128,Dry,Low,29,9,1.85,48,A
275,Concrete,Electrical,10,830,Humid,Medium,26,5,1.44,271,B
276,Stone,Insulation,8,827,Humid,Low,28,2,0.11,108,B
277,Brick,Finishing,10,763,Coastal,Low,16,1,0.61,372,B
278,Brick,Plumbing,6,692,Dry,Low,27,2,2.2,149,C
279,Steel,Insulation,10,153,Dry,High,19,3,1.65,124,D
280,Brick,Finishing,9,856,Humid,High,20,3,2.19,361,A
281,Plastic,Insulation,10,587,Coastal,High,6,2,0.94,113,A
282,Brick,Structural,9,198,All,High,25,10,1.08,385,A
283,Stone,Electrical,6,155,Coastal,High,27,1,1.71,281,D
284,Concrete,Electrical,10,820,Dry,Medium,14,7,1.87,187,D
285,Stone,Plumbing,9,425,All,Low,17,7,0.89,253,A
286,Brick,Insulation,8,361,All,Low,17,7,0.39,191,D
287,Glass,Plumbing,8,209,Dry,High,11,4,0.39,102,D
288,Aluminum,Insulation,6,501,All,High,8,7,1.01,116,D
289,Plastic,Electrical,9,276,Coastal,Medium,7,2,0.96,149,C
290,Wood,Finishing,9,546,Dry,Medium,24,1,2.19,400,D
291,Concrete,Finishing,6,146,Coastal,Medium,22,5,1.95,147,B
292,Wood,Insulation,6,424,Humid,Low,29,1,0.51,226,B
293,Glass,Insulation,10,488,Dry,Low,28,5,1.52,190,C
294,Stone,Electrical,10,223,Coastal,Low,17,9,0.36,210,D
295,Glass,Insulation,10,494,Coastal,High,27,9,0.18,31,A
296,Insulation,Plumbing,9,87,Dry,Medium,24,10,0.22,156,A
297,Wood,Finishing,8,778,Humid,High,28,10,1.02,214,B
298,Stone,Plumbing,7,246,Dry,High,29,2,1.78,202,C
299,Concrete,Insulation,10,989,All,High,20,6,1.91,133,C
300,Aluminum,Electrical,7,647,Humid,Medium,24,3,1.73,291,A
301,Glass,Finishing,9,555,Coastal,Medium,23,8,1.41,167,A
302,Plastic,Structural,9,632,Coastal,Low,6,9,2.13,336,D
303,Aluminum,Plumbing,8,735,Humid,Low,16,1,1.96,378,B
304,Steel,Electrical,9,106,Coastal,Medium,21,8,2.02,358,D
305,Stone,Electrical,6,841,All,Medium,27,2,1.26,297,A
306,Insulation,Finishing,10,512,Coastal,High,16,5,0.21,18,B
307,Plastic,Electrical,9,624,Humid,Low,26,9,1.77,93,A
308,Brick,Insulation,6,245,Humid,Low,26,4,1.28,121,C
309,Insulation,Finishing,7,815,Dry,Medium,5,4,2.1,298,B
310,Aluminum,Finishing,6,180,Dry,High,26,1,0.15,249,C
311,Steel,Insulation,9,887,Dry,Low,20,3,1.05,200,C
312,Insulation,Insulation,6,815,Coastal,High,9,1,2.34,395,A
313,Concrete,Plumbing,7,775,Dry,High,28,5,1.0,88,A
314,Aluminum,Structural,8,149,Humid,Medium,12,4,2.08,83,D
315,Glass,Electrical,10,668,Coastal,Low,14,6,0.53,325,B
316,Concrete,Insulation,9,836,Dry,High,6,4,0.34,395,C
317,Steel,Structural,8,809,Humid,Low,28,1,1.24,65,C
318,Brick,Plumbing,10,614,Humid,Medium,19,6,1.89,26,C
319,Brick,Plumbing,7,996,Dry,High,20,4,0.56,75,B
320,Glass,Finishing,6,603,All,Medium,8,4,1.55,158,D
321,Glass,Structural,6,202,Dry,High,23,3,1.48,315,A
322,Wood,Insulation,8,354,All,High,25,3,1.9,216,D
323,Stone,Finishing,8,904,Humid,High,17,10,0.63,187,D
324,Brick,Insulation,8,729,Coastal,Low,21,2,0.69,171,D
325,Wood,Plumbing,7,350,All,High,24,4,1.23,318,D
326,Glass,Electrical,8,723,Coastal,High,8,2,1.63,170,C
327,Steel,Structural,8,134,Dry,High,16,1,2.04,352,D
328,Brick,Finishing,7,932,Dry,High,22,3,0.12,385,B
329,Plastic,Finishing,6,770,Humid,Medium,30,8,0.7,219,A
330,Stone,Insulation,10,541,All,Medium,12,4,0.6,251,C
331,Glass,Electrical,7,783,All,Medium,28,3,2.05,62,A
332,Stone,Insulation,8,722,Coastal,High,11,7,2.13,72,A
333,Concrete,Structural,6,581,Coastal,High,6,2,0.6,395,B
334,Stone,Electrical,9,76,Coastal,High,20,9,2.11,139,B
335,Insulation,Finishing,7,827,Dry,High,7,4,1.26,175,C
336,Plastic,Structural,10,856,All,High,25,7,2.22,277,D
337,Insulation,Structural,10,733,All,Low,7,7,1.17,69,D
338,Glass,Structural,7,899,Coastal,Low,14,9,0.25,155,B
339,Insulation,Insulation,8,846,All,Medium,26,9,1.39,216,B
340,Wood,Insulation,6,876,Coastal,High,5,4,2.4,290,C
341,Insulation,Plumbing,8,496,All,Medium,14,2,2.0,266,C
342,Stone,Electrical,6,779,Coastal,Medium,30,7,1.95,256,C
343,Concrete,Finishing,7,429,All,Medium,17,9,1.12,234,B
344,Glass,Finishing,9,886,Coastal,Medium,28,9,0.67,373,B
345,Stone,Structural,8,600,Humid,Medium,21,1,2.01,278,B
346,Insulation,Insulation,10,474,Humid,High,11,2,1.71,324,B
347,Concrete,Structural,10,675,Dry,High,27,4,1.82,349,D
348,Plastic,Structural,8,646,Dry,High,6,1,2.29,12,B
349,Aluminum,Structural,7,572,Humid,Low,12,7,0.99,325,D
350,Insulation,Finishing,9,731,Humid,Medium,24,7,1.48,358,D
351,Wood,Electrical,7,996,All,High,24,1,0.98,128,C
352,Steel,Electrical,8,479,Dry,Medium,6,4,0.48,157,C
353,Concrete,Electrical,9,810,Coastal,Low,14,1,2.2,181,D
354,Stone,Structural,7,138,Coastal,Low,7,6,0.38,148,B
355,Plastic,Structural,8,830,Coastal,High,25,9,1.44,239,A
356,Brick,Structural,6,995,All,Low,13,7,0.49,366,D
357,Concrete,Insulation,7,702,All,Low,7,1,0.31,196,C
358,Steel,Insulation,7,61,Dry,Low,21,7,1.33,387,A
359,Wood,Structural,9,860,Dry,High,8,3,0.44,364,C
360,Plastic,Electrical,8,800,Coastal,Medium,11,3,0.2,383,C
361,Wood,Finishing,7,714,Dry,Low,8,8,2.29,244,D
362,Brick,Electrical,10,57,Humid,High,6,1,0.22,56,C
363,Aluminum,Structural,8,550,Dry,High,10,7,0.97,393,A
364,Plastic,Insulation,9,197,Humid,Low,27,1,2.49,182,B
365,Stone,Finishing,6,155,Dry,Low,8,7,1.5,167,A
366,Insulation,Insulation,10,713,All,Low,16,3,0.3,238,C
367,Concrete,Structural,9,83,All,High,30,6,1.41,252,B
368,Insulation,Structural,6,342,All,Low,29,4,0.62,316,B
369,Aluminum,Structural,10,755,All,High,12,6,0.69,172,A
370,Insulation,Plumbing,9,501,Dry,High,27,5,1.17,157,D
371,Aluminum,Insulation,6,67,Humid,High,21,3,0.3,24,A
372,Concrete,Finishing,8,786,Coastal,High,16,3,0.36,168,B
373,Stone,Insulation,6,333,All,Low,19,8,0.8,15,C
374,Glass,Insulation,7,335,Dry,Medium,21,8,1.19,20,C
375,Plastic,Insulation,8,388,Humid,High,14,2,1.17,171,C
376,Steel,Finishing,6,270,Dry,Low,30,10,2.32,79,D
377,Wood,Finishing,10,194,All,High,18,8,0.41,193,C
378,Concrete,Electrical,8,164,Coastal,Low,15,6,2.16,328,A
379,Concrete,Structural,9,988,Dry,Medium,29,3,0.9,166,A
380,Stone,Electrical,6,445,Humid,Low,14,8,0.39,253,A
381,Plastic,Insulation,10,529,All,Low,29,9,0.11,295,D
382,Stone,Insulation,10,298,Dry,High,24,10,2.27,324,A
383,Wood,Plumbing,9,382,Coastal,Low,6,1,1.33,340,A
384,Steel,Insulation,6,438,Coastal,High,13,6,1.26,189,B
385,Insulation,Finishing,6,720,Dry,High,13,6,0.78,240,D
386,Insulation,Electrical,6,716,All,Medium,17,10,0.76,12,C
387,Plastic,Plumbing,6,901,Humid,High,22,1,1.0,129,B
388,Glass,Electrical,7,761,All,Low,7,7,0.42,385,A
389,Brick,Finishing,7,291,Dry,Medium,14,4,1.74,381,D
390,Aluminum,Finishing,9,216,Dry,High,12,2,1.1,360,D
391,Stone,Electrical,10,420,Dry,Medium,27,3,2.18,107,B
392,Plastic,Plumbing,6,165,Humid,Medium,28,4,1.07,358,A
393,Concrete,Electrical,10,788,Humid,Low,23,1,1.72,252,B
394,Steel,Finishing,6,344,Humid,High,26,4,2.48,312,B
395,Brick,Electrical,8,819,Coastal,Low,19,3,1.5,175,D
396,Aluminum,Insulation,8,162,All,Medium,21,4,2.13,382,B
397,Plastic,Insulation,9,622,Humid,Medium,5,7,1.71,183,C
398,Steel,Structural,7,449,Dry,Low,25,4,1.1,260,C
399,Stone,Finishing,9,100,Coastal,Low,21,4,0.81,353,C
400,Plastic,Insulation,7,310,Humid,High,12,2,1.93,164,C
401,Wood,Electrical,8,373,All,Medium,28,5,2.49,309,C
